"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","GO"
"ENSG00000216522",85.2045677698729,3.47289010934079,0.806473976805467,4.30626431753855,1.66034650240582e-05,0.00352308560765966,NA,NA
"ENSG00000254028",2.59063374544703,2.94937648963675,0.840003156475352,3.51114929378637,0.000446173748436781,0.0483965330860344,NA,NA
"ENSG00000260100",3.33732498696857,2.59234831694515,0.73310350257861,3.53612867463714,0.000406036869960881,0.04505149545711,NA,NA
"ENSG00000007350",16.6029444415675,2.27488292593466,0.561301047611775,4.05287489772883,5.05920593951673e-05,0.00930829852289566,"TKTL1","GO:0004802"
"ENSG00000106483",1799.69560466696,1.8847331711788,0.533849680481718,3.53045668113563,0.000414842941139373,0.0456527546808144,"SFRP4","GO:0002092"
"ENSG00000165899",39.5122365404988,1.56980524586806,0.391003147089313,4.01481486160387,5.94924753066214e-05,0.0104814924676575,"OTOGL","GO:0005576"
"ENSG00000226051",116.73402790371,1.22136655897006,0.340282340314535,3.58927400652385,0.000331600157925495,0.0387133196421451,"ZNF503-AS1",NA
"ENSG00000186891",164.651808127813,-1.48906590435548,0.414669906588178,-3.59096688883749,0.000329453492831567,0.0386177945024744,"TNFRSF18","GO:0002687"
"ENSG00000172794",473.871384727338,-1.53070693173985,0.43631963833147,-3.5082237819811,0.000451109414380749,0.0485694469483273,"RAB37","GO:0003924"
"ENSG00000271784",4.47414406413933,-1.60132938299852,0.45222474019318,-3.54100348935901,0.000398608306670577,0.0445674749035141,NA,NA
"ENSG00000062282",767.903893392152,-1.77338023325774,0.483861837718071,-3.66505497028064,0.0002472854635208,0.0306975196423201,"DGAT2","GO:0003846"
"ENSG00000116824",773.511788904752,-1.79424291666727,0.498165060811948,-3.60170364766826,0.000316138631252107,0.0375108163693826,"CD2","GO:0001766"
"ENSG00000028277",1239.1258711872,-1.88169750386311,0.508403845046911,-3.70118661020254,0.000214593579753776,0.0277254905041878,"POU2F2","GO:0000978"
"ENSG00000159753",1448.5757106256,-1.92249594248774,0.523022945549589,-3.67573919814856,0.000237161710055843,0.0300534923663429,"CARMIL2","GO:0001726"
"ENSG00000159618",312.192892257464,-2.02111615147884,0.514660983417098,-3.92708251956387,8.59824875788694e-05,0.0135108698049607,"ADGRG5","GO:0004930"
"ENSG00000124256",426.402197702062,-2.03962429798074,0.566886418493114,-3.59794172420363,0.000320745459844092,0.0379027256815762,"ZBP1","GO:0003677"
"ENSG00000102096",2407.27060515051,-2.06297248912651,0.507551094667761,-4.0645612053638,4.81229099655913e-05,0.00896751918397269,"PIM2","GO:0000082"
"ENSG00000137968",150.50975534815,-2.06603761491294,0.538425388312049,-3.83718461231912,0.000124452913938581,0.0173102689387299,"SLC44A5","GO:0005886"
"ENSG00000163564",511.659593691389,-2.07058711475515,0.552829068477444,-3.74543820652882,0.000180079169670049,0.0241239698723886,"PYHIN1","GO:0002218"
"ENSG00000167077",474.069610790344,-2.07675129964172,0.52325364235089,-3.96891895546342,7.2199430180029e-05,0.0119252127007582,"MEI1","GO:0005623"
